effective_date,year,month,month_name,day,quarter,petrol_ron92,change,notification_by
2014-01-01 00:00:00,2014,1,January,1,1,112.76,0,OGRA
2014-02-01 00:00:00,2014,2,February,1,1,112.76,0,OGRA
2014-03-01 00:00:00,2014,3,March,1,1,110.03,0,OGRA
2014-04-01 00:00:00,2014,4,April,1,2,108.31,0,OGRA
2014-05-01 00:00:00,2014,5,May,1,2,107.97,0,OGRA
2014-06-01 00:00:00,2014,6,June,1,2,107.97,0,OGRA
2014-07-01 00:00:00,2014,7,July,1,3,107.97,0,OGRA
2014-08-01 00:00:00,2014,8,August,1,3,107.97,0,OGRA
2014-09-01 00:00:00,2014,9,September,1,3,106.56,0,OGRA
2014-10-01 00:00:00,2014,10,October,1,4,103.62,0,OGRA
2014-11-01 00:00:00,2014,11,November,1,4,94.19,0,OGRA
2014-12-01 00:00:00,2014,12,December,1,4,84.53,0,OGRA
2015-01-01 00:00:00,2015,1,January,1,1,78.28,0,OGRA
2015-02-01 00:00:00,2015,2,February,1,1,70.29,0,OGRA
2015-03-01 00:00:00,2015,3,March,1,1,70.29,0,OGRA
2015-04-01 00:00:00,2015,4,April,1,2,74.29,4,OGRA
2015-05-01 00:00:00,2015,5,May,1,2,74.29,0,OGRA
2015-06-01 00:00:00,2015,6,June,1,2,77.79,3.5,OGRA
2015-07-01 00:00:00,2015,7,July,1,3,77.79,0,OGRA
2015-08-01 00:00:00,2015,8,August,1,3,76.76,0,OGRA
2015-09-01 00:00:00,2015,9,September,1,3,73.76,0,OGRA
2015-10-01 00:00:00,2015,10,October,1,4,73.76,0,OGRA
2015-11-01 00:00:00,2015,11,November,1,4,76.26,2.5,OGRA
2015-12-01 00:00:00,2015,12,December,1,4,76.26,0,OGRA
2016-01-01 00:00:00,2016,1,January,1,1,76.25,0,OGRA
2016-02-01 00:00:00,2016,2,February,1,1,71.25,0,OGRA
2016-03-01 00:00:00,2016,3,March,1,1,62.77,0,OGRA
2016-04-01 00:00:00,2016,4,April,1,2,64.27,1.5,OGRA
2016-05-01 00:00:00,2016,5,May,1,2,64.27,0,OGRA
