year,population,population_change,annual_growth_rate,growth_category
2014,12121000,0,3.95,Moderate Growth
2015,12586000,465000,3.84,Moderate Growth
2016,13054000,468000,3.72,Moderate Growth
2017,13509000,455000,3.49,Moderate Growth
2018,13932000,423000,3.13,Moderate Growth
2019,14161000,229000,1.64,Low Growth
2020,13095000,-1066000,-7.53,Negative Growth
2021,13198000,103000,0.79,Low Growth
2022,13542000,344000,2.61,Moderate Growth
2023,13979000,437000,3.23,Moderate Growth
2024,14407000,428000,3.06,Moderate Growth
2025,14826000,419000,2.91,Moderate Growth
