Station_ID,Station_Code,Station_Name,Official_Address,Route_Order,Latitude,Longitude,Administrative Town,Area Type,Landmark,Interchange,Opening Date,Status,Source
1,LMB001,Shahdara,"Shahdara Town, Shahdara, Lahore",1,31.6208,74.2925,Ravi Town,residential,ShahdaraTown,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
2,LMB002,Niazi Chowk Station,"Ravi Road, Kasurpura, Lahore",2,31.6028,74.3071,Ravi Town,Commercial,Niazi Chowk,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
3,LMB003,Timber Market Station,"Ravi Road, Ravi Park, Lahore",3,31.5926,74.3142,Ravi Town,Commercial,Timber Market,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
4,LMB004,Azadi Chowk Station,"Ravi Road, Walled City of Lahore, Lahore",4,31.5839,74.3206,Ravi Town,Commercial,Azadi Chowk,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
5,LMB005,Bhati Chowk Station,"Data Darbar Road, Data Gunj Buksh Town, Lahore",5,31.5654,74.3368,Data Ganj Bakhsh Town,Historic / Commercial,Data Darbar,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
6,LMB006,Katchehry Station,"Lower Mall, Anarkali Bazaar, Data Gunj Buksh Town, Lahore",6,31.5593,74.3289,Data Ganj Bakhsh Town,Government,Lahore High Court / District Courts Area,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
7,LMB007,Civil Secretariat,"Lower Mall, Anarkali Bazaar, Lahore",7,31.561,74.318,Data Ganj Bakhsh Town,Government,Civil Secretariat Punjab,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
8,LMB008,MAO College,"Chauburji Quarters, Mozang Chungi, Lahore",8,31.5582,74.3275,Data Ganj Bakhsh Town,Educational,MAO College,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
9,LMB009,Janazgah Station,"Janazgah, Lytton Road, Lahore",9,31.5697,74.3108,Data Ganj Bakhsh Town,Mixed,Janazgah,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
10,LMB010,Qartaba Chowk,"Mozang Chungi, Queen's Road, Lahore",10,31.5525,74.3063,Gulberg Town,Commercial,Qartaba Chowk,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
11,LMB011,Shama Station,"Ferozepur Road, Ichhra Lahore",11,31.5488,74.3072,Gulberg Town,Commercial,Shama Chowk,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
12,LMB012,Ichhra Station,"Ferozepur Road, Ichhra Lahore",12,31.5449,74.3085,Gulberg Town,Commercial,Ichhra Bazaar,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
13,LMB013,Canal Station,"Lahore Metro Bus, Station # 13, Fazlia Colony, Lahore",13,31.5408,74.3099,Gulberg Town,Mixed,Canal Bridge,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
14,LMB014,Gaddafi Stadium Station,"Ferozepur Road, Abu Bakar Block Garden Town, Lahore",14,31.5368,74.3115,Gulberg Town,Recreational,Gaddafi Stadium,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
15,LMB015,Kalma Chowk Station,"Ferozepur Road, Tipu Block Gulberg III, Lahore",15,31.5324,74.3132,Gulberg Town,Commercial,Kalma Chowk Flyover,No,2013-02-10 00:00:00,Active,Punjab Mass Transit Authority
