time,weather_code_wmo_code,precipitation_sum_mm,rain_sum_mm,snowfall_sum_cm,wind_direction_10m_dominant_deg,wind_gusts_10m_max_km_h,wind_speed_10m_max_km_h,apparent_temperature_min_degc,apparent_temperature_max_degc,temperature_2m_min_degc,temperature_2m_max_degc,year,month,month_name,day,day_of_week,quarter,weather_description
2014-01-01 00:00:00,3,0,0,0,322,27.4,11.8,0.9,12.9,4.3,15.8,2014,1,January,1,Wednesday,1,Overcast
2014-01-02 00:00:00,0,0,0,0,297,21.2,10.9,-0.4,14.5,2.9,17.7,2014,1,January,2,Thursday,1,Clear Sky
2014-01-03 00:00:00,0,0,0,0,242,16.6,9.2,-1,15.6,2.2,18,2014,1,January,3,Friday,1,Clear Sky
2014-01-04 00:00:00,0,0,0,0,75,14,6.2,1.4,15.5,4.1,17.3,2014,1,January,4,Saturday,1,Clear Sky
2014-01-05 00:00:00,0,0,0,0,260,14.8,6.6,1.1,15.5,3.3,17.4,2014,1,January,5,Sunday,1,Clear Sky
2014-01-06 00:00:00,3,0,0,0,303,17.3,9.5,4.4,16.4,6.6,18.5,2014,1,January,6,Monday,1,Overcast
2014-01-07 00:00:00,3,0,0,0,330,19.8,9.7,3.7,14.5,6.4,17.6,2014,1,January,7,Tuesday,1,Overcast
2014-01-08 00:00:00,51,0.1,0.1,0,326,25.9,13.5,3,12.7,6,15.5,2014,1,January,8,Wednesday,1,Light Drizzle
2014-01-09 00:00:00,0,0,0,0,312,23,11.6,2.1,14.2,4.9,16.6,2014,1,January,9,Thursday,1,Clear Sky
2014-01-10 00:00:00,0,0,0,0,320,19.4,10.6,2.1,14.1,4.9,16.4,2014,1,January,10,Friday,1,Clear Sky
2014-01-11 00:00:00,3,0,0,0,304,24.1,11.3,1,14.9,3.9,18.1,2014,1,January,11,Saturday,1,Overcast
2014-01-12 00:00:00,3,0,0,0,320,18.4,9.3,0.4,14.9,3.3,17.7,2014,1,January,12,Sunday,1,Overcast
2014-01-13 00:00:00,53,0.6,0.6,0,354,15.8,8.9,3.7,14.3,6.2,15.9,2014,1,January,13,Monday,1,Moderate Drizzle
2014-01-14 00:00:00,2,0,0,0,270,18.7,9.4,2.4,16.6,5,18.8,2014,1,January,14,Tuesday,1,Partly Cloudy
